| 等級 (Level) | 境界名稱 (Realm) | 攻擊 (Atk) | 防禦 (Def) | 血量 (HP) | 預估戰力 (CP) |
|---|---|---|---|---|---|
| 1 | 練氣 1層 | 10 | 5 | 100 | **248** |
| 2 | 練氣 2層 | 14 | 8 | 113 | **307** |
| 3 | 練氣 3層 | 21 | 13 | 130 | **391** |
| 4 | 練氣 4層 | 31 | 20 | 152 | **500** |
| 5 | 練氣 5層 | 44 | 30 | 180 | **637** |
| 6 | 練氣 6層 | 60 | 43 | 215 | **804** |
| 7 | 練氣 7層 | 80 | 59 | 258 | **1006** |
| 8 | 練氣 8層 | 104 | 78 | 310 | **1245** |
| 9 | 練氣 9層 | 133 | 100 | 372 | **1526** |
| 10 | 築基 初期 | 166 | 126 | 445 | **1847** |
| 11 | 築基 中期 | 204 | 155 | 529 | **2211** |
| 12 | 築基 後期 | 247 | 188 | 626 | **2623** |
| 13 | 築基 大成 | 295 | 225 | 737 | **3083** |
| 14 | 築基 圓滿 | 349 | 266 | 862 | **3596** |
| 15 | 金丹 初凝 | 409 | 311 | 1002 | **4163** |
| 16 | 金丹 中期 | 475 | 360 | 1159 | **4785** |
| 17 | 金丹 後期 | 547 | 413 | 1332 | **5463** |
| 18 | 金丹 大圓滿 | 625 | 471 | 1523 | **6199** |
| 19 | 金丹 巔峰 | 709 | 533 | 1733 | **6993** |
| 20 | 元嬰 初凝 | 800 | 600 | 1962 | **7853** |
| 21 | 元嬰 中期 | 898 | 671 | 2211 | **8775** |
| 22 | 元嬰 後期 | 1003 | 747 | 2481 | **9764** |
| 23 | 元嬰 大成 | 1115 | 828 | 2773 | **10820** |
| 24 | 元嬰 圓滿 | 1234 | 914 | 3088 | **11945** |
| 25 | 化神 初境 | 1361 | 1005 | 3426 | **13144** |
| 26 | 化神 中境 | 1495 | 1101 | 3788 | **14411** |
| 27 | 化神 後境 | 1637 | 1202 | 4175 | **15754** |
| 28 | 化神 大成 | 1787 | 1309 | 4587 | **17175** |
| 29 | 化神 圓滿 | 1945 | 1421 | 5025 | **18671** |
| 30 | 煉虛 初境 | 2111 | 1538 | 5490 | **20244** |
| 31 | 煉虛 中境 | 2285 | 1661 | 5983 | **21897** |
| 32 | 煉虛 後境 | 2468 | 1789 | 6505 | **23634** |
| 33 | 煉虛 大成 | 2659 | 1923 | 7056 | **25452** |
| 34 | 煉虛 圓滿 | 2859 | 2063 | 7637 | **27357** |
| 35 | 合體 初境 | 3068 | 2209 | 8248 | **29348** |
| 36 | 合體 中境 | 3286 | 2360 | 8890 | **31425** |
| 37 | 合體 後境 | 3513 | 2517 | 9564 | **33590** |
| 38 | 合體 大成 | 3749 | 2680 | 10271 | **35845** |
| 39 | 合體 圓滿 | 3994 | 2849 | 11011 | **38189** |
| 40 | 大乘 初境 | 4248 | 3024 | 11786 | **40624** |
| 41 | 大乘 中境 | 4512 | 3206 | 12595 | **43157** |
| 42 | 大乘 後境 | 4786 | 3394 | 13440 | **45787** |
| 43 | 大乘 大成 | 5069 | 3588 | 14321 | **48509** |
| 44 | 大乘 圓滿 | 5362 | 3788 | 15239 | **51328** |
| 45 | 渡劫 初境 | 5665 | 3995 | 16194 | **54248** |
| 46 | 渡劫 中境 | 5978 | 4208 | 17187 | **57267** |
| 47 | 渡劫 後境 | 6302 | 4428 | 18219 | **60392** |
| 48 | 渡劫 大成 | 6636 | 4654 | 19291 | **63618** |
| 49 | 渡劫 圓滿 | 6981 | 4887 | 20403 | **66951** |
| 50 | 真仙 初證 | 7336 | 5127 | 21556 | **70389** |
